Estado;Tipo de crimen;Ocurrencias;Fecha
Acre;Violación;31;01/01/2022
Acre;Hurto en el vehículo;50;01/01/2022
Acre;Homicidio doloso;10;01/01/2022
Acre;Lesiones corporales seguidas de muerte;1;01/01/2022
Acre;Robo a entidad financiera;0;01/01/2022
Acre;Robo de mercancía;0;01/01/2022
Acre;Robo de vehiculo;72;01/01/2022
Acre;Robo seguido de muerte;0;01/01/2022
Acre;Tentativa de homicidio;22;01/01/2022
Acre;Violación;34;01/02/2022
Acre;Hurto en el vehículo;55;01/02/2022
Acre;Homicidio doloso;10;01/02/2022
Acre;Lesiones corporales seguidas de muerte;0;01/02/2022
Acre;Robo a entidad financiera;0;01/02/2022
Acre;Robo de mercancía;0;01/02/2022
Acre;Robo de vehiculo;48;01/02/2022
Acre;Robo seguido de muerte;2;01/02/2022
Acre;Tentativa de homicidio;18;01/02/2022
Acre;Violación;57;01/03/2022
Acre;Hurto en el vehículo;44;01/03/2022
Acre;Homicidio doloso;21;01/03/2022
Acre;Lesiones corporales seguidas de muerte;0;01/03/2022
Acre;Robo a entidad financiera;0;01/03/2022
Acre;Robo de mercancía;0;01/03/2022
Acre;Robo de vehiculo;68;01/03/2022
Acre;Robo seguido de muerte;0;01/03/2022
Acre;Tentativa de homicidio;37;01/03/2022
Acre;Violación;28;01/04/2022
Acre;Hurto en el vehículo;40;01/04/2022
Acre;Homicidio doloso;21;01/04/2022
Acre;Robo de vehiculo;52;01/04/2022
Acre;Tentativa de homicidio;27;01/04/2022
Acre;Violación;45;01/05/2022
Acre;Hurto en el vehículo;29;01/05/2022
Acre;Homicidio doloso;23;01/05/2022
Acre;Robo de vehiculo;61;01/05/2022
Acre;Tentativa de homicidio;31;01/05/2022
Acre;Violación;45;01/06/2022
Acre;Hurto en el vehículo;50;01/06/2022
Acre;Homicidio doloso;12;01/06/2022
Acre;Robo de vehiculo;50;01/06/2022
Acre;Robo seguido de muerte;1;01/06/2022
Acre;Tentativa de homicidio;22;01/06/2022
Acre;Violación;62;01/07/2022
Acre;Hurto en el vehículo;44;01/07/2022
Acre;Homicidio doloso;20;01/07/2022
Acre;Robo de vehiculo;49;01/07/2022
Acre;Tentativa de homicidio;39;01/07/2022
Acre;Violación;47;01/08/2022
Acre;Hurto en el vehículo;34;01/08/2022
Acre;Homicidio doloso;9;01/08/2022
Acre;Robo de vehiculo;47;01/08/2022
Acre;Robo seguido de muerte;1;01/08/2022
Acre;Tentativa de homicidio;32;01/08/2022
Acre;Violación;59;01/09/2022
Acre;Hurto en el vehículo;33;01/09/2022
Acre;Homicidio doloso;16;01/09/2022
Acre;Robo de vehiculo;57;01/09/2022
Acre;Robo seguido de muerte;1;01/09/2022
Acre;Tentativa de homicidio;26;01/09/2022
Alagoas;Violación;57;01/01/2022
Alagoas;Hurto en el vehículo;160;01/01/2022
Alagoas;Homicidio doloso;102;01/01/2022
Alagoas;Lesiones corporales seguidas de muerte;0;01/01/2022
Alagoas;Robo a entidad financiera;0;01/01/2022
Alagoas;Robo de mercancía;1;01/01/2022
Alagoas;Robo de vehiculo;130;01/01/2022
Alagoas;Robo seguido de muerte;1;01/01/2022
Alagoas;Tentativa de homicidio;47;01/01/2022
Alagoas;Violación;45;01/02/2022
Alagoas;Hurto en el vehículo;144;01/02/2022
Alagoas;Homicidio doloso;85;01/02/2022
Alagoas;Lesiones corporales seguidas de muerte;0;01/02/2022
Alagoas;Robo a entidad financiera;0;01/02/2022
Alagoas;Robo de mercancía;0;01/02/2022
Alagoas;Robo de vehiculo;138;01/02/2022
Alagoas;Robo seguido de muerte;2;01/02/2022
Alagoas;Tentativa de homicidio;55;01/02/2022
Alagoas;Violación;81;01/03/2022
Alagoas;Hurto en el vehículo;162;01/03/2022
Alagoas;Homicidio doloso;95;01/03/2022
Alagoas;Lesiones corporales seguidas de muerte;1;01/03/2022
Alagoas;Robo a entidad financiera;0;01/03/2022
Alagoas;Robo de mercancía;0;01/03/2022
Alagoas;Robo de vehiculo;132;01/03/2022
Alagoas;Robo seguido de muerte;2;01/03/2022
Alagoas;Tentativa de homicidio;46;01/03/2022
Alagoas;Violación;73;01/04/2022
Alagoas;Hurto en el vehículo;135;01/04/2022
Alagoas;Homicidio doloso;107;01/04/2022
Alagoas;Robo de mercancía;1;01/04/2022
Alagoas;Robo de vehiculo;114;01/04/2022
Alagoas;Robo seguido de muerte;4;01/04/2022
Alagoas;Tentativa de homicidio;45;01/04/2022
Alagoas;Violación;17;01/05/2022
Alagoas;Hurto en el vehículo;142;01/05/2022
Alagoas;Homicidio doloso;77;01/05/2022
Alagoas;Lesiones corporales seguidas de muerte;1;01/05/2022
Alagoas;Robo de vehiculo;143;01/05/2022
Alagoas;Robo seguido de muerte;2;01/05/2022
Alagoas;Tentativa de homicidio;45;01/05/2022
Alagoas;Violación;54;01/06/2022
Alagoas;Hurto en el vehículo;183;01/06/2022
Alagoas;Homicidio doloso;86;01/06/2022
Alagoas;Robo de mercancía;2;01/06/2022
Alagoas;Robo de vehiculo;136;01/06/2022
Alagoas;Robo seguido de muerte;1;01/06/2022
Alagoas;Tentativa de homicidio;41;01/06/2022
Alagoas;Violación;74;01/07/2022
Alagoas;Hurto en el vehículo;184;01/07/2022
Alagoas;Homicidio doloso;92;01/07/2022
Alagoas;Lesiones corporales seguidas de muerte;0;01/07/2022
Alagoas;Robo a entidad financiera;0;01/07/2022
Alagoas;Robo de mercancía;5;01/07/2022
Alagoas;Robo de vehiculo;150;01/07/2022
Alagoas;Robo seguido de muerte;3;01/07/2022
Alagoas;Tentativa de homicidio;67;01/07/2022
Alagoas;Violación;73;01/08/2022
Alagoas;Hurto en el vehículo;158;01/08/2022
Alagoas;Homicidio doloso;63;01/08/2022
Alagoas;Lesiones corporales seguidas de muerte;2;01/08/2022
Alagoas;Robo a entidad financiera;0;01/08/2022
Alagoas;Robo de mercancía;0;01/08/2022
Alagoas;Robo de vehiculo;133;01/08/2022
Alagoas;Robo seguido de muerte;2;01/08/2022
Alagoas;Tentativa de homicidio;68;01/08/2022
Alagoas;Violación;79;01/09/2022
Alagoas;Hurto en el vehículo;176;01/09/2022
Alagoas;Homicidio doloso;90;01/09/2022
Alagoas;Robo de mercancía;3;01/09/2022
Alagoas;Robo de vehiculo;134;01/09/2022
Alagoas;Robo seguido de muerte;1;01/09/2022
Alagoas;Tentativa de homicidio;49;01/09/2022
Amapá;Violación;7;01/01/2022
Amapá;Hurto en el vehículo;30;01/01/2022
Amapá;Homicidio doloso;16;01/01/2022
Amapá;Lesiones corporales seguidas de muerte;0;01/01/2022
Amapá;Robo a entidad financiera;0;01/01/2022
Amapá;Robo de mercancía;0;01/01/2022
Amapá;Robo de vehiculo;39;01/01/2022
Amapá;Robo seguido de muerte;5;01/01/2022
Amapá;Tentativa de homicidio;18;01/01/2022
Amapá;Violación;13;01/02/2022
Amapá;Hurto en el vehículo;120;01/02/2022
Amapá;Homicidio doloso;20;01/02/2022
Amapá;Lesiones corporales seguidas de muerte;0;01/02/2022
Amapá;Robo a entidad financiera;0;01/02/2022
Amapá;Robo de mercancía;0;01/02/2022
Amapá;Robo de vehiculo;25;01/02/2022
Amapá;Robo seguido de muerte;2;01/02/2022
Amapá;Tentativa de homicidio;12;01/02/2022
Amapá;Violación;5;01/03/2022
Amapá;Hurto en el vehículo;28;01/03/2022
Amapá;Homicidio doloso;12;01/03/2022
Amapá;Lesiones corporales seguidas de muerte;1;01/03/2022
Amapá;Robo a entidad financiera;0;01/03/2022
Amapá;Robo de mercancía;1;01/03/2022
Amapá;Robo de vehiculo;37;01/03/2022
Amapá;Robo seguido de muerte;1;01/03/2022
Amapá;Tentativa de homicidio;10;01/03/2022
Amapá;Violación;10;01/04/2022
Amapá;Hurto en el vehículo;35;01/04/2022
Amapá;Homicidio doloso;15;01/04/2022
Amapá;Lesiones corporales seguidas de muerte;0;01/04/2022
Amapá;Robo a entidad financiera;1;01/04/2022
Amapá;Robo de mercancía;5;01/04/2022
Amapá;Robo de vehiculo;42;01/04/2022
Amapá;Robo seguido de muerte;2;01/04/2022
Amapá;Tentativa de homicidio;15;01/04/2022
Amapá;Violación;12;01/05/2022
Amapá;Hurto en el vehículo;26;01/05/2022
Amapá;Homicidio doloso;13;01/05/2022
Amapá;Lesiones corporales seguidas de muerte;2;01/05/2022
Amapá;Robo de vehiculo;29;01/05/2022
Amapá;Robo seguido de muerte;2;01/05/2022
Amapá;Tentativa de homicidio;19;01/05/2022
Amapá;Violación;12;01/06/2022
Amapá;Hurto en el vehículo;21;01/06/2022
Amapá;Homicidio doloso;13;01/06/2022
Amapá;Lesiones corporales seguidas de muerte;3;01/06/2022
Amapá;Robo a entidad financiera;1;01/06/2022
Amapá;Robo de vehiculo;20;01/06/2022
Amapá;Robo seguido de muerte;2;01/06/2022
Amapá;Tentativa de homicidio;16;01/06/2022
Amapá;Violación;9;01/07/2022
Amapá;Hurto en el vehículo;18;01/07/2022
Amapá;Homicidio doloso;13;01/07/2022
Amapá;Lesiones corporales seguidas de muerte;2;01/07/2022
Amapá;Robo de vehiculo;25;01/07/2022
Amapá;Robo seguido de muerte;1;01/07/2022
Amapá;Tentativa de homicidio;27;01/07/2022
Amapá;Violación;8;01/08/2022
Amapá;Hurto en el vehículo;26;01/08/2022
Amapá;Homicidio doloso;22;01/08/2022
Amapá;Lesiones corporales seguidas de muerte;1;01/08/2022
Amapá;Robo a entidad financiera;1;01/08/2022
Amapá;Robo de mercancía;6;01/08/2022
Amapá;Robo de vehiculo;34;01/08/2022
Amapá;Robo seguido de muerte;1;01/08/2022
Amapá;Tentativa de homicidio;12;01/08/2022
Amapá;Violación;14;01/09/2022
Amapá;Hurto en el vehículo;26;01/09/2022
Amapá;Homicidio doloso;11;01/09/2022
Amapá;Lesiones corporales seguidas de muerte;3;01/09/2022
Amapá;Robo a entidad financiera;1;01/09/2022
Amapá;Robo de mercancía;5;01/09/2022
Amapá;Robo de vehiculo;34;01/09/2022
Amapá;Robo seguido de muerte;4;01/09/2022
Amapá;Tentativa de homicidio;9;01/09/2022
Amazonas;Violación;43;01/01/2022
Amazonas;Hurto en el vehículo;176;01/01/2022
Amazonas;Homicidio doloso;95;01/01/2022
Amazonas;Lesiones corporales seguidas de muerte;1;01/01/2022
Amazonas;Robo a entidad financiera;0;01/01/2022
Amazonas;Robo de mercancía;0;01/01/2022
Amazonas;Robo de vehiculo;144;01/01/2022
Amazonas;Robo seguido de muerte;5;01/01/2022
Amazonas;Tentativa de homicidio;11;01/01/2022
Amazonas;Violación;64;01/02/2022
Amazonas;Hurto en el vehículo;204;01/02/2022
Amazonas;Homicidio doloso;90;01/02/2022
Amazonas;Lesiones corporales seguidas de muerte;2;01/02/2022
Amazonas;Robo a entidad financiera;0;01/02/2022
Amazonas;Robo de mercancía;0;01/02/2022
Amazonas;Robo de vehiculo;174;01/02/2022
Amazonas;Robo seguido de muerte;5;01/02/2022
Amazonas;Tentativa de homicidio;16;01/02/2022
Amazonas;Violación;76;01/03/2022
Amazonas;Hurto en el vehículo;211;01/03/2022
Amazonas;Homicidio doloso;97;01/03/2022
Amazonas;Lesiones corporales seguidas de muerte;5;01/03/2022
Amazonas;Robo a entidad financiera;0;01/03/2022
Amazonas;Robo de mercancía;1;01/03/2022
Amazonas;Robo de vehiculo;164;01/03/2022
Amazonas;Robo seguido de muerte;5;01/03/2022
Amazonas;Tentativa de homicidio;27;01/03/2022
Amazonas;Violación;81;01/04/2022
Amazonas;Hurto en el vehículo;195;01/04/2022
Amazonas;Homicidio doloso;115;01/04/2022
Amazonas;Lesiones corporales seguidas de muerte;5;01/04/2022
Amazonas;Robo a entidad financiera;0;01/04/2022
Amazonas;Robo de mercancía;3;01/04/2022
Amazonas;Robo de vehiculo;113;01/04/2022
Amazonas;Robo seguido de muerte;4;01/04/2022
Amazonas;Tentativa de homicidio;33;01/04/2022
Amazonas;Violación;72;01/05/2022
Amazonas;Hurto en el vehículo;220;01/05/2022
Amazonas;Homicidio doloso;127;01/05/2022
Amazonas;Lesiones corporales seguidas de muerte;2;01/05/2022
Amazonas;Robo a entidad financiera;0;01/05/2022
Amazonas;Robo de mercancía;0;01/05/2022
Amazonas;Robo de vehiculo;118;01/05/2022
Amazonas;Robo seguido de muerte;7;01/05/2022
Amazonas;Tentativa de homicidio;16;01/05/2022
Amazonas;Violación;81;01/06/2022
Amazonas;Hurto en el vehículo;178;01/06/2022
Amazonas;Homicidio doloso;96;01/06/2022
Amazonas;Lesiones corporales seguidas de muerte;0;01/06/2022
Amazonas;Robo a entidad financiera;0;01/06/2022
Amazonas;Robo de mercancía;2;01/06/2022
Amazonas;Robo de vehiculo;111;01/06/2022
Amazonas;Robo seguido de muerte;4;01/06/2022
Amazonas;Tentativa de homicidio;17;01/06/2022
Amazonas;Violación;100;01/07/2022
Amazonas;Hurto en el vehículo;231;01/07/2022
Amazonas;Homicidio doloso;101;01/07/2022
Amazonas;Lesiones corporales seguidas de muerte;2;01/07/2022
Amazonas;Robo a entidad financiera;0;01/07/2022
Amazonas;Robo de mercancía;0;01/07/2022
Amazonas;Robo de vehiculo;116;01/07/2022
Amazonas;Robo seguido de muerte;6;01/07/2022
Amazonas;Tentativa de homicidio;25;01/07/2022
Amazonas;Violación;88;01/08/2022
Amazonas;Hurto en el vehículo;157;01/08/2022
Amazonas;Homicidio doloso;109;01/08/2022
Amazonas;Lesiones corporales seguidas de muerte;1;01/08/2022
Amazonas;Robo a entidad financiera;1;01/08/2022
Amazonas;Robo de mercancía;6;01/08/2022
