AÑO;Estado;Tipo de crimen;SUM de Ocurrencias
2015;Acre;Homicidio doloso;189
2015;Acre;Hurto en el vehículo;0
2015;Acre;Lesiones corporales seguidas de muerte;3
2015;Acre;Robo a entidad financiera;0
2015;Acre;Robo de mercancía;0
2015;Acre;Robo de vehiculo;0
2015;Acre;Robo seguido de muerte;10
2015;Acre;Tentativa de homicidio;16
2015;Acre;Violación;42
2015;Alagoas;Homicidio doloso;1633
2015;Alagoas;Hurto en el vehículo;696
2015;Alagoas;Lesiones corporales seguidas de muerte;9
2015;Alagoas;Robo a entidad financiera;21
2015;Alagoas;Robo de mercancía;95
2015;Alagoas;Robo de vehiculo;3158
2015;Alagoas;Robo seguido de muerte;56
2015;Alagoas;Tentativa de homicidio;704
2015;Alagoas;Violación;567
2015;Amapá;Homicidio doloso;248
2015;Amapá;Hurto en el vehículo;877
2015;Amapá;Lesiones corporales seguidas de muerte;2
2015;Amapá;Robo a entidad financiera;2
2015;Amapá;Robo de vehiculo;310
2015;Amapá;Robo seguido de muerte;17
2015;Amapá;Tentativa de homicidio;315
2015;Amapá;Violación;354
2015;Amazonas;Homicidio doloso;1313
2015;Amazonas;Hurto en el vehículo;1867
2015;Amazonas;Lesiones corporales seguidas de muerte;8
2015;Amazonas;Robo a entidad financiera;52
2015;Amazonas;Robo de mercancía;0
2015;Amazonas;Robo de vehiculo;2781
2015;Amazonas;Robo seguido de muerte;69
2015;Amazonas;Tentativa de homicidio;394
2015;Amazonas;Violación;756
2015;Bahia;Homicidio doloso;5422
2015;Bahia;Hurto en el vehículo;5539
2015;Bahia;Lesiones corporales seguidas de muerte;125
2015;Bahia;Robo a entidad financiera;60
2015;Bahia;Robo de mercancía;436
2015;Bahia;Robo de vehiculo;14451
2015;Bahia;Robo seguido de muerte;204
2015;Bahia;Tentativa de homicidio;2844
2015;Bahia;Violación;2450
2015;Ceará;Homicidio doloso;3787
2015;Ceará;Hurto en el vehículo;4839
2015;Ceará;Lesiones corporales seguidas de muerte;30
2015;Ceará;Robo a entidad financiera;60
2015;Ceará;Robo de mercancía;212
2015;Ceará;Robo de vehiculo;9411
